reserveID,dateID,time_value,reserve_visitors
1904,518,20:00,3
1905,518,20:00,3
1906,519,18:00,4
1907,519,18:00,3
1908,519,19:00,6
1909,519,20:00,3
1910,520,18:00,5
1911,520,18:00,3
1912,521,17:00,6
1913,521,18:00,5
1914,521,18:00,4
1915,521,19:00,7
1916,521,19:00,6
1917,522,18:00,3
1918,522,19:00,3
1919,522,19:00,3
1920,522,19:00,13
1921,522,21:00,5
1922,523,17:00,4
1923,523,18:00,4
1924,523,18:00,4
1925,523,18:00,3
1926,523,18:00,8
1927,523,18:00,3
1928,523,18:00,3
1929,523,19:00,3
1930,523,19:00,5
1931,523,20:00,3
1932,524,18:00,7
1933,524,18:00,4
1934,524,20:00,3
1935,524,20:00,5
1936,525,17:00,7
1937,525,17:00,4
1938,525,18:00,5
1939,525,19:00,5
1940,527,17:00,3
1941,527,18:00,3
1942,527,18:00,3
1943,527,18:00,3
1944,527,18:00,7
1945,527,20:00,3
1946,528,18:00,5
1947,528,18:00,7
1948,528,19:00,6
1949,529,18:00,3
1950,529,18:00,3
1951,529,19:00,6
1952,529,19:00,3
1953,529,19:00,3
1954,529,19:00,5
1955,529,19:00,10
1956,529,19:00,5
1957,529,19:00,3
1958,529,20:00,5
1959,529,20:00,3
1960,529,20:00,5
1961,530,17:00,11
1962,530,18:00,4
1963,530,18:00,3
1964,530,19:00,4
1965,530,19:00,4
1966,530,19:00,3
1967,532,17:00,4
1968,532,18:00,5
1969,532,19:00,10
1970,533,17:00,9
1971,534,17:00,6
1972,534,19:00,3
1973,534,19:00,3
1974,534,20:00,3
1975,534,20:00,6
1976,535,17:00,5
1977,535,18:00,7
1978,535,18:00,9
1979,535,18:00,3
1980,535,19:00,9
1981,535,19:00,5
1982,535,20:00,3
1983,535,20:00,3
1984,536,17:00,5
1985,536,18:00,6
1986,536,18:00,14
1987,536,18:00,4
1988,536,18:00,3
1989,536,19:00,5
1990,536,19:00,3
1991,536,19:00,3
1992,536,19:00,5
1993,536,20:00,10
1994,536,22:00,5
1995,537,17:00,5
1996,537,17:00,23
1997,537,17:00,3
1998,537,18:00,3
1999,537,20:00,9
2000,537,20:00,3
2001,539,17:00,5
2002,539,17:00,3
2003,539,19:00,5
2004,540,17:00,13
2005,540,19:00,4
2006,540,19:00,3
2007,541,18:00,10
2008,541,18:00,5
2009,541,19:00,5
2010,541,19:00,8
2011,542,17:00,4
2012,542,18:00,4
2013,542,18:00,6
2014,542,18:00,6
2015,542,18:00,5
2016,542,18:00,6
2017,542,18:00,3
2018,542,18:00,3
2019,542,18:00,16
2020,543,18:00,4
2021,543,18:00,6
2022,543,18:00,3
2023,543,18:00,5
2024,543,18:00,7
2025,543,19:00,5
2026,543,19:00,3
2027,543,19:00,3
2028,543,19:00,7
2029,543,19:00,3
2030,543,20:00,3
2031,543,20:00,3
2032,544,17:00,3
2033,544,19:00,9
2034,544,19:00,3
2035,544,19:00,3
2036,546,17:00,5
2037,546,18:00,3
2038,546,18:00,5
2039,546,19:00,3
2040,546,19:00,6
2041,546,19:00,4
2042,546,19:00,9
2043,547,17:00,3
2044,547,17:00,3
2045,547,18:00,3
2046,549,17:00,8
2047,549,19:00,4
2048,549,19:00,3
2049,549,19:00,5
2050,549,19:00,4
2051,549,20:00,3
2052,549,20:00,6
2053,550,17:00,3
2054,550,18:00,3
2055,550,18:00,7
2056,550,19:00,3
2057,550,19:00,9
2058,550,19:00,4
2059,550,19:00,4
2060,550,19:00,5
2061,551,18:00,4
2062,551,18:00,5
2063,553,19:00,3
2064,553,19:00,3
2065,553,20:00,3
2066,554,17:00,4
2067,554,17:00,7
2068,554,17:00,3
2069,554,19:00,4
2070,554,20:00,3
2071,555,17:00,4
2072,555,17:00,6
2073,556,17:00,8
2074,556,18:00,3
2075,556,18:00,3
2076,556,19:00,4
2077,556,19:00,7
2078,556,20:00,3
2079,557,18:00,4
2080,557,18:00,5
2081,557,18:00,8
2082,557,18:00,4
2083,557,19:00,3
2084,557,19:00,5
2085,557,19:00,9
2086,557,19:00,4
2087,557,19:00,5
2088,557,19:00,3
2089,557,19:00,4
2090,557,20:00,5
2091,558,17:00,6
2092,558,18:00,4
2093,558,19:00,3
2094,560,19:00,4
2095,560,19:00,3
2096,560,19:00,9
2097,562,17:00,9
2098,562,18:00,3
2099,562,18:00,3
2100,563,18:00,3
2101,563,18:00,6
2102,563,18:00,6
2103,563,18:00,8
2104,563,19:00,4
2105,563,20:00,3
2106,563,20:00,3
2107,563,20:00,4
2108,564,17:00,3
2109,564,18:00,4
2110,564,18:00,5
2111,564,18:00,3
2112,564,18:00,5
2113,564,18:00,6
2114,564,18:00,3
2115,564,19:00,6
2116,564,20:00,5
2117,565,17:00,4
2118,565,18:00,4
2119,565,18:00,9
2120,565,19:00,3
2121,565,21:00,9
2122,567,19:00,6
2123,567,19:00,5
2124,567,19:00,3
2125,567,19:00,3
2126,567,19:00,3
2127,568,19:00,8
2128,568,19:00,3
2129,568,19:00,5
2130,568,19:00,3
2131,569,17:00,4
2132,569,18:00,4
2133,569,19:00,4
2134,569,21:00,3
2135,570,17:00,10
2136,570,18:00,3
2137,570,18:00,10
2138,570,19:00,4
2139,570,19:00,5
2140,570,20:00,3
2141,570,20:00,3
2142,571,18:00,4
2143,571,18:00,3
2144,571,18:00,3
2145,571,18:00,7
2146,571,18:00,17
2147,571,18:00,7
2148,571,18:00,4
2149,574,18:00,3
2150,574,18:00,3
2151,574,18:00,3
2152,574,19:00,3
2153,575,18:00,3
2154,575,18:00,9
2155,575,18:00,4
2156,577,17:00,4
2157,577,17:00,3
2158,577,17:00,3
2159,577,17:00,3
2160,577,17:00,3
2161,577,17:00,7
2162,577,17:00,15
2163,577,18:00,3
2164,578,17:00,4
2165,578,18:00,4
2166,578,18:00,7
2167,578,18:00,4
2168,578,18:00,3
2169,578,18:00,3
2170,578,18:00,6
2171,578,19:00,3
2172,578,19:00,4
2173,578,19:00,6
2174,578,20:00,3
2175,578,20:00,4
2176,578,20:00,6
2177,579,17:00,5
2178,579,18:00,8
2179,579,18:00,4
2180,579,18:00,7
2181,579,18:00,5
2182,579,18:00,7
2183,579,21:00,8
2184,581,18:00,3
2185,581,18:00,11
2186,581,18:00,5
2187,581,18:00,4
2188,581,18:00,5
2189,581,18:00,5
2190,581,18:00,5
2191,581,19:00,4
2192,582,17:00,3
2193,582,18:00,9
2194,582,18:00,4
2195,582,20:00,4
2196,582,20:00,4
2197,583,18:00,5
2198,583,18:00,7
2199,583,18:00,5
2200,583,19:00,3
2201,583,19:00,6
2202,584,18:00,5
2203,584,18:00,3
2204,584,18:00,5
2205,584,18:00,9
2206,584,18:00,3
2207,584,19:00,5
2208,584,19:00,4
2209,584,20:00,4
2210,585,18:00,3
2211,585,18:00,5
2212,585,18:00,3
2213,585,18:00,5
2214,585,18:00,5
2215,585,18:00,3
2216,585,19:00,14
2217,585,19:00,14
2218,585,19:00,3
2219,586,18:00,4
2220,586,18:00,5
2221,586,18:00,6
2222,586,18:00,6
2223,586,19:00,21
2224,588,18:00,6
2225,588,18:00,4
2226,588,18:00,5
2227,588,18:00,4
2228,588,18:00,3
2229,589,18:00,3
2230,589,18:00,11
2231,589,18:00,17
2232,589,18:00,7
2233,590,18:00,3
2234,590,18:00,4
2235,590,18:00,4
2236,591,17:00,4
2237,591,17:00,3
2238,591,17:00,4
2239,591,17:00,25
2240,591,18:00,4
2241,591,18:00,3
2242,591,19:00,4
2243,591,19:00,8
2244,591,20:00,4
2245,592,17:00,6
2246,592,17:00,4
2247,592,17:00,3
2248,592,17:00,3
2249,592,17:00,13
2250,592,17:00,3
2251,592,17:00,3
2252,592,17:00,7
2253,592,18:00,4
2254,593,17:00,5
2255,593,20:00,6
2256,593,20:00,3
2257,593,20:00,4
2258,593,20:00,3
2259,593,20:00,3
2260,593,20:00,8
2261,594,19:00,21
2262,594,19:00,7
2263,594,19:00,5
2264,594,19:00,3
2265,594,22:00,4
2266,595,17:00,4
2267,595,17:00,5
2268,595,17:00,3
2269,595,17:00,4
2270,595,17:00,3
2271,595,17:00,4
2272,595,17:00,4
2273,595,18:00,4
2274,595,20:00,13
2275,597,18:00,2
2276,597,18:00,6
2277,597,18:00,4
2278,597,18:00,4
2279,598,18:00,9
2280,598,18:00,19
2281,598,19:00,4
2282,598,19:00,5
2283,598,20:00,4
2284,599,17:00,5
2285,599,17:00,3
2286,599,18:00,7
2287,599,18:00,3
2288,599,18:00,7
2289,599,18:00,5
2290,599,18:00,3
2291,599,18:00,3
2292,599,18:00,4
2293,599,18:00,4
2294,599,18:00,5
2295,599,18:00,6
2296,599,20:00,5
2297,600,18:00,12
2298,600,18:00,3
2299,600,18:00,3
2300,600,18:00,3
2301,601,17:00,8
2302,601,18:00,5
2303,601,18:00,4
2304,601,19:00,5
2305,601,19:00,13
2306,601,20:00,5
2307,602,18:00,3
2308,602,18:00,4
2309,602,18:00,3
2310,602,18:00,5
2311,602,18:00,13
2312,602,18:00,9
2313,603,18:00,7
2314,603,18:00,7
2315,603,18:00,4
2316,603,18:00,3
2317,603,18:00,10
2318,603,19:00,4
2319,605,18:00,9
2320,605,18:00,3
2321,606,18:00,19
2322,606,19:00,4
2323,606,19:00,6
2324,606,19:00,6
2325,606,19:00,5
2326,606,19:00,9
2327,606,19:00,3
2328,607,17:00,5
2329,607,18:00,4
2330,607,18:00,4
2331,607,19:00,16
2332,609,20:00,3
2333,610,17:00,6
2334,610,18:00,4
2335,611,17:00,3
2336,611,17:00,7
2337,611,18:00,6
2338,611,18:00,5
2339,611,19:00,4
2340,612,17:00,4
2341,612,18:00,8
2342,612,18:00,11
2343,612,19:00,6
2344,612,19:00,3
2345,613,17:00,7
2346,613,17:00,4
2347,613,17:00,5
2348,613,17:00,4
2349,613,17:00,5
2350,613,17:00,3
2351,613,17:00,6
2352,613,17:00,4
2353,613,18:00,3
2354,613,18:00,3
2355,613,18:00,3
2356,613,20:00,7
2357,614,17:00,4
2358,614,17:00,4
2359,614,17:00,21
2360,614,17:00,4
2361,614,19:00,4
2362,614,19:00,5
2363,616,19:00,4
2364,616,22:00,4
2365,617,17:00,5
2366,617,17:00,3
2367,617,19:00,4
2368,618,17:00,14
2369,618,18:00,6
2370,619,17:00,9
2371,619,18:00,3
2372,619,18:00,3
2373,619,18:00,4
2374,619,18:00,5
2375,619,18:00,5
2376,619,19:00,13
2377,619,19:00,3
2378,619,20:00,3
2379,619,20:00,4
2380,619,20:00,4
2381,620,17:00,3
2382,620,17:00,6
2383,620,18:00,4
2384,620,18:00,4
2385,620,18:00,5
2386,620,18:00,4
2387,620,18:00,6
2388,620,19:00,3
2389,620,20:00,8
2390,620,20:00,5
2391,621,17:00,3
2392,621,18:00,3
2393,621,18:00,4
2394,621,18:00,3
2395,621,18:00,4
2396,621,18:00,3
2397,621,18:00,4
2398,623,18:00,3
2399,623,19:00,3
2400,623,19:00,4
2401,624,18:00,6
2402,624,18:00,6
2403,624,18:00,3
2404,625,19:00,3
2405,626,17:00,5
2406,626,18:00,6
2407,626,18:00,5
2408,626,20:00,3
2409,626,20:00,4
2410,626,20:00,3
2411,626,20:00,31
2412,627,18:00,4
2413,627,18:00,8
2414,627,18:00,6
2415,627,18:00,3
2416,627,19:00,3
2417,627,19:00,3
2418,627,19:00,4
2419,627,19:00,5
2420,627,19:00,3
2421,628,18:00,9
2422,628,18:00,6
2423,628,19:00,3
2424,630,18:00,5
2425,630,18:00,3
2426,630,18:00,3
2427,630,18:00,3
2428,630,18:00,14
2429,631,18:00,10
2430,631,18:00,3
2431,631,18:00,4
2432,631,18:00,4
2433,632,17:00,12
2434,632,18:00,4
2435,632,18:00,7
