dateID,placeID,amountOfVisitors
5,1,22
6,1,30
7,1,15
8,1,38
9,1,43
10,1,54
11,1,65
12,1,35
14,1,33
15,1,52
16,1,56
17,1,48
19,1,34
20,1,32
21,1,35
22,1,50
23,1,57
24,1,60
26,1,44
27,1,36
28,1,35
29,1,59
30,1,58
31,1,39
33,1,48
34,1,16
35,1,19
36,1,42
37,1,52
38,1,50
40,1,28
41,1,47
42,1,36
43,1,38
44,1,64
45,1,37
46,1,2
47,1,39
48,1,33
49,1,28
50,1,39
51,1,52
52,1,60
54,1,24
55,1,18
56,1,28
57,1,50
58,1,37
59,1,57
60,1,11
61,1,26
62,1,26
63,1,25
64,1,55
65,1,49
66,1,67
67,1,8
68,1,36
69,1,41
70,1,23
71,1,51
72,1,64
73,1,63
75,1,39
76,1,54
77,1,30
78,1,59
79,1,67
80,1,59
81,1,43
82,1,43
83,1,12
84,1,53
85,1,43
86,1,85
87,1,32
88,1,50
89,1,53
90,1,50
92,1,50
93,1,64
94,1,46
96,1,42
97,1,43
98,1,40
99,1,40
100,1,59
101,1,70
103,1,41
104,1,21
105,1,27
106,1,65
107,1,56
108,1,32
109,1,3
110,1,23
111,1,42
112,1,19
113,1,59
114,1,48
115,1,35
117,1,36
118,1,43
119,1,60
120,1,42
121,1,76
122,1,54
123,1,61
124,1,77
125,1,70
126,1,86
127,1,52
128,1,46
129,1,46
132,1,36
133,1,14
134,1,37
135,1,57
136,1,55
138,1,35
139,1,29
140,1,28
141,1,67
142,1,53
143,1,59
145,1,33
146,1,23
147,1,12
148,1,40
149,1,56
150,1,40
152,1,31
153,1,10
154,1,21
155,1,44
156,1,51
157,1,35
159,1,49
160,1,29
161,1,25
162,1,74
163,1,51
164,1,53
166,1,30
167,1,41
168,1,26
169,1,52
170,1,50
171,1,60
173,1,29
174,1,32
175,1,22
176,1,49
177,1,54
178,1,37
179,1,5
180,1,38
181,1,37
182,1,25
183,1,67
184,1,48
185,1,59
186,1,1
187,1,24
188,1,27
189,1,35
190,1,65
191,1,49
192,1,50
194,1,38
195,1,50
196,1,9
197,1,64
198,1,56
199,1,63
200,1,44
201,1,46
203,1,14
204,1,48
205,1,60
206,1,39
208,1,58
209,1,28
210,1,29
211,1,56
212,1,63
213,1,53
215,1,51
216,1,43
217,1,42
218,1,51
219,1,54
220,1,43
222,1,59
223,1,51
224,1,55
225,1,64
226,1,60
227,1,64
229,1,56
230,1,47
231,1,52
232,1,68
233,1,55
234,1,54
236,1,32
237,1,90
238,1,39
239,1,53
240,1,65
241,1,64
243,1,43
244,1,26
245,1,14
246,1,44
247,1,57
248,1,43
250,1,30
251,1,18
252,1,37
253,1,52
254,1,58
255,1,50
257,1,26
258,1,22
259,1,26
260,1,54
261,1,52
262,1,66
263,1,30
265,1,44
266,1,39
267,1,24
268,1,63
269,1,58
271,1,33
272,1,45
273,1,31
274,1,45
275,1,45
276,1,64
277,1,2
278,1,28
279,1,24
280,1,26
281,1,66
282,1,42
283,1,43
284,1,57
285,1,39
287,1,22
288,1,36
289,1,56
290,1,43
292,1,35
293,1,25
294,1,22
295,1,43
296,1,48
297,1,51
299,1,40
300,1,49
301,1,26
302,1,53
303,1,55
304,1,41
305,1,32
307,1,41
308,1,42
309,1,44
310,1,62
311,1,25
313,1,31
314,1,15
315,1,14
316,1,26
317,1,46
318,1,57
320,1,46
321,1,17
322,1,15
323,1,29
324,1,66
325,1,34
327,1,47
328,1,43
329,1,38
330,1,45
331,1,64
332,1,64
334,1,28
335,1,20
336,1,22
337,1,45
338,1,63
339,1,51
341,1,34
342,1,37
343,1,18
344,1,76
345,1,62
346,1,62
348,1,24
349,1,48
350,1,41
351,1,67
352,1,64
353,1,65
355,1,43
356,1,45
357,1,63
358,1,58
359,1,35
360,1,46
361,1,47
362,1,56
363,1,80
364,1,85
365,1,63
371,1,34
372,1,36
373,1,66
374,1,68
375,1,60
376,1,44
378,1,15
379,1,40
380,1,47
381,1,49
383,1,35
384,1,31
385,1,32
386,1,50
387,1,65
388,1,55
390,1,12
391,1,31
392,1,19
393,1,58
394,1,62
395,1,44
397,1,50
398,1,10
399,1,29
400,1,29
401,1,51
402,1,55
404,1,52
405,1,31
406,1,24
407,1,44
408,1,49
409,1,42
411,1,30
412,1,40
413,1,19
414,1,47
415,1,65
416,1,45
418,1,50
419,1,7
420,1,23
421,1,57
422,1,53
423,1,43
425,1,52
426,1,27
427,1,27
428,1,36
429,1,55
430,1,61
432,1,59
433,1,18
434,1,27
435,1,51
436,1,63
437,1,72
439,1,51
440,1,36
441,1,35
442,1,50
443,1,64
444,1,81
445,1,42
446,1,86
447,1,41
448,1,42
449,1,65
450,1,57
451,1,65
453,1,63
454,1,62
455,1,55
456,1,56
457,1,58
458,1,55
460,1,39
461,1,21
462,1,31
463,1,69
464,1,62
465,1,54
467,1,45
468,1,21
469,1,30
470,1,46
471,1,56
472,1,49
474,1,30
475,1,50
476,1,29
477,1,55
478,1,48
