dateID,calendar_date,day_of_the_week_id,holiday_flg
518,01-06-2017,4,1
519,02-06-2017,5,1
520,03-06-2017,6,1
521,04-06-2017,7,0
522,05-06-2017,1,0
523,06-06-2017,2,0
524,07-06-2017,3,0
525,08-06-2017,4,0
526,09-06-2017,5,0
527,10-06-2017,6,0
528,11-06-2017,7,1
529,12-06-2017,1,0
530,13-06-2017,2,0
531,14-06-2017,3,0
532,15-06-2017,4,0
533,16-06-2017,5,0
534,17-06-2017,6,0
535,18-06-2017,7,0
536,19-06-2017,1,0
537,20-06-2017,2,0
538,21-06-2017,3,0
539,22-06-2017,4,0
540,23-06-2017,5,0
541,24-06-2017,6,0
542,25-06-2017,7,0
543,26-06-2017,1,0
544,27-06-2017,2,0
545,28-06-2017,3,0
546,29-06-2017,4,0
547,30-06-2017,5,0
548,01-07-2017,6,0
549,02-07-2017,7,0
550,03-07-2017,1,0
551,04-07-2017,2,0
552,05-07-2017,3,0
553,06-07-2017,4,0
554,07-07-2017,5,0
555,08-07-2017,6,0
556,09-07-2017,7,0
557,10-07-2017,1,0
558,11-07-2017,2,0
559,12-07-2017,3,1
560,13-07-2017,4,0
561,14-07-2017,5,0
562,15-07-2017,6,0
563,16-07-2017,7,0
564,17-07-2017,1,0
565,18-07-2017,2,0
566,19-07-2017,3,0
567,20-07-2017,4,0
568,21-07-2017,5,0
569,22-07-2017,6,0
570,23-07-2017,7,0
571,24-07-2017,1,0
572,25-07-2017,2,0
573,26-07-2017,3,0
574,27-07-2017,4,0
575,28-07-2017,5,0
576,29-07-2017,6,0
577,30-07-2017,7,0
578,31-07-2017,1,0
579,01-08-2017,2,0
580,02-08-2017,3,0
581,03-08-2017,4,0
582,04-08-2017,5,0
583,05-08-2017,6,0
584,06-08-2017,7,0
585,07-08-2017,1,0
586,08-08-2017,2,0
587,09-08-2017,3,0
588,10-08-2017,4,0
589,11-08-2017,5,0
590,12-08-2017,6,0
591,13-08-2017,7,0
592,14-08-2017,1,0
593,15-08-2017,2,0
594,16-08-2017,3,0
595,17-08-2017,4,0
596,18-08-2017,5,0
597,19-08-2017,6,1
598,20-08-2017,7,1
599,21-08-2017,1,0
600,22-08-2017,2,0
601,23-08-2017,3,0
602,24-08-2017,4,0
603,25-08-2017,5,0
604,26-08-2017,6,0
605,27-08-2017,7,0
606,28-08-2017,1,0
607,29-08-2017,2,0
608,30-08-2017,3,0
609,31-08-2017,4,0
610,01-09-2017,5,0
611,02-09-2017,6,0
612,03-09-2017,7,0
613,04-09-2017,1,0
614,05-09-2017,2,0
615,06-09-2017,3,0
616,07-09-2017,4,0
617,08-09-2017,5,0
618,09-09-2017,6,0
619,10-09-2017,7,0
620,11-09-2017,1,0
621,12-09-2017,2,0
622,13-09-2017,3,0
623,14-09-2017,4,0
624,15-09-2017,5,0
625,16-09-2017,6,0
626,17-09-2017,7,0
627,18-09-2017,1,0
628,19-09-2017,2,0
629,20-09-2017,3,0
630,21-09-2017,4,0
631,22-09-2017,5,0
632,23-09-2017,6,0
633,24-09-2017,7,0
634,25-09-2017,1,0
635,26-09-2017,2,0
636,27-09-2017,3,0
637,28-09-2017,4,1
638,29-09-2017,5,0
639,30-09-2017,6,0
640,01-10-2017,7,0
641,02-10-2017,1,1
642,03-10-2017,2,1
643,04-10-2017,3,1
644,05-10-2017,4,0
645,06-10-2017,5,0
646,07-10-2017,6,0
647,08-10-2017,7,0
648,09-10-2017,1,0
649,10-10-2017,2,0
650,11-10-2017,3,0
651,12-10-2017,4,0
652,13-10-2017,5,0
653,14-10-2017,6,0
654,15-10-2017,7,0
655,16-10-2017,1,0
656,17-10-2017,2,0
657,18-10-2017,3,0
658,19-10-2017,4,0
659,20-10-2017,5,0
660,21-10-2017,6,0
661,22-10-2017,7,0
662,23-10-2017,1,0
663,24-10-2017,2,0
664,25-10-2017,3,0
665,26-10-2017,4,0
666,27-10-2017,5,0
667,28-10-2017,6,0
668,29-10-2017,7,0
669,30-10-2017,1,0
670,31-10-2017,2,0
671,01-11-2017,3,0
672,02-11-2017,4,0
673,03-11-2017,5,0
674,04-11-2017,6,0
675,05-11-2017,7,0
676,06-11-2017,1,0
677,07-11-2017,2,0
678,08-11-2017,3,0
679,09-11-2017,4,0
680,10-11-2017,5,0
681,11-11-2017,6,0
682,12-11-2017,7,0
683,13-11-2017,1,0
684,14-11-2017,2,0
685,15-11-2017,3,0
686,16-11-2017,4,0
687,17-11-2017,5,0
688,18-11-2017,6,0
689,19-11-2017,7,0
690,20-11-2017,1,0
691,21-11-2017,2,0
692,22-11-2017,3,0
693,23-11-2017,4,0
694,24-11-2017,5,0
695,25-11-2017,6,0
696,26-11-2017,7,0
697,27-11-2017,1,0
698,28-11-2017,2,0
699,29-11-2017,3,0
700,30-11-2017,4,0
701,01-12-2017,5,0
702,02-12-2017,6,0
703,03-12-2017,7,0
704,04-12-2017,1,0
705,05-12-2017,2,0
706,06-12-2017,3,0
707,07-12-2017,4,0
708,08-12-2017,5,0
709,09-12-2017,6,0
710,10-12-2017,7,0
711,11-12-2017,1,0
712,12-12-2017,2,0
713,13-12-2017,3,0
714,14-12-2017,4,0
715,15-12-2017,5,0
716,16-12-2017,6,0
717,17-12-2017,7,1
718,18-12-2017,1,0
719,19-12-2017,2,0
720,20-12-2017,3,0
721,21-12-2017,4,0
722,22-12-2017,5,0
723,23-12-2017,6,0
724,24-12-2017,7,0
725,25-12-2017,1,0
726,26-12-2017,2,0
727,27-12-2017,3,0
728,28-12-2017,4,0
